key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,mouse_catch_prac.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,34,-102,1,0,0,response3disk,2.5835,-11,0,1,0,0,rectangle,-11,0,1,0,0,,-3,"[44,9,101,130,65,88,95,156,58,115]",-11,0,1,0,0,0,4,4,26,1,DarkGreen,DarkGreen.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,72,-37,1,0,0,response3disk,2.6331,12,4,1,0,0,rectangle,12,4,1,0,0,,-1,"[44,9,101,130,65,88,95,156,58,115]",12,4,1,0,0,0,5,5,69,1,Pink,Pink.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,-30,-84,1,0,0,response5disk,6.1666,5,3,1,0,0,rectangle,5,3,1,0,0,,-1,"[44,9,101,130,65,88,95,156,58,115]",5,3,1,0,0,0,6,6,5,1,Red,Red.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,102,42,1,0,0,response1disk,1.9999,-6,5,1,0,0,rectangle,-6,5,1,0,0,,2,"[44,9,101,130,65,88,95,156,58,115]",-6,5,1,0,0,0,7,7,43,1,Pink,Pink.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,48,102,1,0,0,response1disk,0.9833,-5,-18,1,0,0,rectangle,109,37,1,0,0,3,3,"[44,9,101,130,65,88,95,156,58,115]",-5,1,1,0,0,0,8,8,0,1,Red,Red.jpg,Red,Red.jpg,response1disk_3,rectangle
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,-45,-84,1,0,0,response5disk,5.3165,-1,-17,1,0,0,rectangle,-1,-17,1,0,0,3,2,"[44,9,101,130,65,88,95,156,58,115]",-1,-17,1,0,0,0,9,9,28,1,DarkGreen,DarkGreen.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,-24,-96,1,0,0,response5disk,5.2831,-2,-16,1,0,0,rectangle,-2,-16,1,0,0,3,3,"[44,9,101,130,65,88,95,156,58,115]",-2,-16,1,0,0,0,10,10,32,1,Turquiose,Turquiose.jpg,DarkBlue,DarkBlue.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,-86,-49,1,0,0,response5disk,5.7,-5,-14,1,0,0,rectangle,-5,-14,1,0,0,3,3,"[44,9,101,130,65,88,95,156,58,115]",-5,-14,1,0,0,0,11,11,33,1,Turquiose,Turquiose.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,78,-39,1,0,0,response3disk,1.6332,-7,-3,1,0,0,rectangle,-7,-3,1,0,0,3,1,"[44,9,101,130,65,88,95,156,58,115]",-7,-3,1,0,0,0,12,12,52,1,Purple,Purple.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,-45,-86,1,0,0,response5disk,2.1168,-12,-8,1,0,0,rectangle,-12,-8,1,0,0,3,3,"[44,9,101,130,65,88,95,156,58,115]",-12,-8,1,0,0,0,13,13,76,1,Pink,Pink.jpg,LightBlue,LightBlue.jpg,,
