key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,mouse_catch_prac.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,1.1653,space,1.9517,space,0.8444,space,3.9925,space,372.5701,space,1.438,-74.19921875,-45.27734375,1,0,0,response5disk_5,-2,7.5546875,-0.890625,1,0,0,rectangle_8,-110.9414063,40.171875,1,0,0,response7disk_7,-3,-3,-1.3671875,-7.5703125,1,0,0,rectangle_4,0,0,0,2,1,trail1,trail1.jpg,trail3,trail3.jpg,,001,2021-12-16_23h07.49.696,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,MacIntel,59.99880002,5da27a7689b88f0015b32142,61bbc5c79a1c66460f44041e,61bbc64bae5a1d964ba07bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106.7851563,-45.625,1,0,0,response3disk_5,2,0.27734375,-9.1171875,1,0,0,rectangle_8,0.27734375,-9.1171875,1,0,0,,,-3,0.27734375,-9.1171875,1,0,0,,0,1,1,3,1,trail2,trail2.jpg,trail2,trail2.jpg,,001,2021-12-16_23h07.49.696,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,MacIntel,59.99880002,5da27a7689b88f0015b32142,61bbc5c79a1c66460f44041e,61bbc64bae5a1d964ba07bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-84.38671875,-64.96484375,1,0,0,response5disk_5,-2,-9.640625,-10.296875,1,0,0,rectangle_8,-9.640625,-10.296875,1,0,0,,,-3,-9.640625,-10.296875,1,0,0,,0,2,2,4,1,trail2,trail2.jpg,trail3,trail3.jpg,,001,2021-12-16_23h07.49.696,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,MacIntel,59.99880002,5da27a7689b88f0015b32142,61bbc5c79a1c66460f44041e,61bbc64bae5a1d964ba07bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-58.5078125,-102.1445313,1,0,0,response5disk_5,-1,-6.8046875,-14.76171875,1,0,0,rectangle_8,-6.8046875,-14.76171875,1,0,0,,,-3,-6.8046875,-14.76171875,1,0,0,,0,3,3,1,1,trail1,trail1.jpg,trail2,trail2.jpg,,001,2021-12-16_23h07.49.696,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,MacIntel,59.99880002,5da27a7689b88f0015b32142,61bbc5c79a1c66460f44041e,61bbc64bae5a1d964ba07bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106.0195313,47.41015625,1,0,0,response1disk_5,3,2.37109375,-12.80859375,1,0,0,rectangle_8,2.37109375,-12.80859375,1,0,0,,,-3,2.37109375,-12.80859375,1,0,0,,0,4,4,5,1,trail3,trail3.jpg,trail3,trail3.jpg,,001,2021-12-16_23h07.49.696,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,MacIntel,59.99880002,5da27a7689b88f0015b32142,61bbc5c79a1c66460f44041e,61bbc64bae5a1d964ba07bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-67.19140625,-58.98046875,1,0,0,response5disk_5,-2,2.8046875,-0.8828125,1,0,0,rectangle_8,2.8046875,-0.8828125,1,0,0,,,-3,2.8046875,-0.8828125,1,0,0,,0,5,5,0,1,trail1,trail1.jpg,trail1,trail1.jpg,,001,2021-12-16_23h07.49.696,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,MacIntel,59.99880002,5da27a7689b88f0015b32142,61bbc5c79a1c66460f44041e,61bbc64bae5a1d964ba07bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h07.49.696,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,MacIntel,59.99880002,5da27a7689b88f0015b32142,61bbc5c79a1c66460f44041e,61bbc64bae5a1d964ba07bfa,space,0.3324,92.30859375,55.94921875,1,0,0,response1disk,2.8507,12.7109375,9.8828125,1,0,0,rectangle,12.7109375,9.8828125,1,0,0,,-3,"[87,71,52,123,36,80,60,150,82,38]",12.7109375,9.8828125,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h07.49.696,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,MacIntel,59.99880002,5da27a7689b88f0015b32142,61bbc5c79a1c66460f44041e,61bbc64bae5a1d964ba07bfa,,,-45.34765625,-95.5078125,1,0,0,response5disk,4.9336,7.05078125,-3.23828125,1,0,0,rectangle,7.05078125,-3.23828125,1,0,0,,-3,"[87,71,52,123,36,80,60,150,82,38]",7.05078125,-3.23828125,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h07.49.696,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,MacIntel,59.99880002,5da27a7689b88f0015b32142,61bbc5c79a1c66460f44041e,61bbc64bae5a1d964ba07bfa,,,-52.43359375,-78.859375,1,0,0,response5disk,2.0149,4.41796875,6.890625,1,0,0,rectangle,4.41796875,6.890625,1,0,0,,-3,"[87,71,52,123,36,80,60,150,82,38]",4.41796875,6.890625,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h07.49.696,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,MacIntel,59.99880002,5da27a7689b88f0015b32142,61bbc5c79a1c66460f44041e,61bbc64bae5a1d964ba07bfa,,,106.2851563,-77.6171875,1,0,0,response3disk,2.4183,7.35546875,-4.4765625,1,0,0,rectangle,7.35546875,-4.4765625,1,0,0,,2,"[87,71,52,123,36,80,60,150,82,38]",7.35546875,-4.4765625,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
