key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,mouse_catch_prac.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,-43,83,1,0,0,response7disk,1.086,-4,7,1,0,0,rectangle,-4,7,1,0,0,,3,"[84,91,153,133,124,149,64,23,43,95]",-4,7,1,0,0,0,4,4,2,1,Red,Red.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,99,68,1,0,0,response1disk,1.1796,-2,-2,1,0,0,rectangle,-2,-2,1,0,0,,-2,"[84,91,153,133,124,149,64,23,43,95]",-2,-2,1,0,0,0,5,5,60,1,DarkGreen,DarkGreen.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,-72,97,1,0,0,response7disk,2.9674,4,-6,1,0,0,rectangle,4,-6,1,0,0,,-3,"[84,91,153,133,124,149,64,23,43,95]",4,-6,1,0,0,0,6,6,69,1,Pink,Pink.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,91,-58,1,0,0,response3disk,1.4003,-14,1,1,0,0,rectangle,-14,1,1,0,0,,3,"[84,91,153,133,124,149,64,23,43,95]",-14,1,1,0,0,0,7,7,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,45,94,1,0,0,response1disk,1.1668,8,14,1,0,0,rectangle,8,14,1,0,0,,-3,"[84,91,153,133,124,149,64,23,43,95]",8,14,1,0,0,0,8,8,35,1,LightBlue,LightBlue.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,55,-88,1,0,0,response3disk,1.6058,11,-4,1,0,0,rectangle,11,-4,1,0,0,,-3,"[84,91,153,133,124,149,64,23,43,95]",11,-4,1,0,0,0,9,9,75,1,DarkBlue,DarkBlue.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,-59,97,1,0,0,response7disk,0.8998,-3,8,1,0,0,rectangle,-3,8,1,0,0,,1,"[84,91,153,133,124,149,64,23,43,95]",-3,8,1,0,0,0,10,10,55,1,Turquiose,Turquiose.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,-54,96,1,0,0,response7disk,2.0008,0,0,1,0,0,rectangle,0,0,1,0,0,,2,"[84,91,153,133,124,149,64,23,43,95]",0,0,1,0,0,0,11,11,64,1,Pink,Pink.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,-109,54,1,0,0,response7disk,2.1682,-10,6,1,0,0,rectangle,-10,6,1,0,0,,2,"[84,91,153,133,124,149,64,23,43,95]",-10,6,1,0,0,0,12,12,20,1,LightGreen,LightGreen.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,-100,-49,1,0,0,response5disk,2.6535,1,-13,1,0,0,rectangle,1,-13,1,0,0,,-1,"[84,91,153,133,124,149,64,23,43,95]",1,-13,1,0,0,0,13,13,23,1,LightGreen,LightGreen.jpg,Purple,Purple.jpg,,
