key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,mouse_catch_prac.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,-51,87,1,0,0,response7disk,1.1356,10,7,1,0,0,rectangle,-64,-118,1,0,0,-1,-1,"[88,5,87,46,20,20,39,93,72,78]",-3,1,1,0,0,0,4,4,56,1,LightBlue,LightBlue.jpg,Yellow,Yellow.jpg,response5disk_3,rectangle
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,-58,100,1,0,0,response7disk,1.2031,-5,12,1,0,0,rectangle,-5,12,1,0,0,-1,-1,"[88,5,87,46,20,20,39,93,72,78]",-5,12,1,0,0,0,5,5,73,1,Pink,Pink.jpg,Turquiose,Turquiose.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,45,131,1,0,0,response1disk,1.0994,4,-3,1,0,0,rectangle,4,-3,1,0,0,-1,-1,"[88,5,87,46,20,20,39,93,72,78]",4,-3,1,0,0,0,6,6,42,1,Pink,Pink.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,29,88,1,0,0,response1disk,0.9872,15,-5,1,0,0,rectangle,15,-5,1,0,0,-1,-3,"[88,5,87,46,20,20,39,93,72,78]",15,-5,1,0,0,0,7,7,35,1,LightBlue,LightBlue.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,32,82,1,0,0,response1disk,0.9346,-1,-22,1,0,0,rectangle,-1,-22,1,0,0,-1,3,"[88,5,87,46,20,20,39,93,72,78]",-1,-22,1,0,0,0,8,8,17,1,LightGreen,LightGreen.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,46,96,1,0,0,response1disk,1.0357,19,9,1,0,0,rectangle,19,9,1,0,0,-1,-2,"[88,5,87,46,20,20,39,93,72,78]",19,9,1,0,0,0,9,9,30,1,Turquiose,Turquiose.jpg,Turquiose,Turquiose.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,56,130,1,0,0,response1disk,0.9026,-8,-5,1,0,0,rectangle,-8,-5,1,0,0,-1,-3,"[88,5,87,46,20,20,39,93,72,78]",-8,-5,1,0,0,0,10,10,0,1,Red,Red.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,-49,107,1,0,0,response7disk,1.7189,5,3,1,0,0,rectangle,5,3,1,0,0,-1,-3,"[88,5,87,46,20,20,39,93,72,78]",5,3,1,0,0,0,11,11,66,1,Turquiose,Turquiose.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,-39,91,1,0,0,response7disk,1.0839,1,-5,1,0,0,rectangle,1,-5,1,0,0,-1,-4,"[88,5,87,46,20,20,39,93,72,78]",1,-5,1,0,0,0,12,12,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,-30,103,1,0,0,response7disk,1.0893,5,-10,1,0,0,rectangle,5,-10,1,0,0,-1,3,"[88,5,87,46,20,20,39,93,72,78]",5,-10,1,0,0,0,13,13,1,1,Red,Red.jpg,Yellow,Yellow.jpg,,
